Id,rating,sentiment,product_name,review_text,price,discount_percent,returned
1,6.7,neutral,Electric Toothbrush,Overall decent but not outstanding.,456.32,11.4,1
2,0.2,negative,Smartphone,Poor quality and very disappointing experience.,161.02,0.3,0
3,4.6,neutral,Microwave Oven,It works as described but could be better.,654.29,31.5,0
4,9.3,positive,Wireless Headphones,It works flawlessly and the price was fair.,968.98,54.9,0
5,8.6,positive,Laptop,It works flawlessly and the price was fair.,106.89,66.7,0
6,4.4,neutral,LED TV,It’s fine for occasional use.,277.5,1.1,0
7,5.5,neutral,Wireless Headphones,"The product is okay, nothing special.",71.89,60.1,0
8,4.8,neutral,Sneakers,Overall decent but not outstanding.,958.77,40.1,1
9,8.1,positive,Smartwatch,Fast delivery and great customer service!,100.34,31.6,0
10,0.1,negative,Running Shoes,It broke after the first day of use.,936.9,35.0,1
11,1.0,negative,Smartwatch,Stopped working after a few uses.,189.73,56.1,0
12,9.6,positive,Wireless Charger,The sound quality is amazing and battery lasts all day.,116.95,63.4,1
13,4.5,neutral,Wireless Charger,"The product is okay, nothing special.",255.28,28.8,1
14,7.3,positive,Electric Toothbrush,"Very durable, I’m extremely satisfied with my purchase.",682.0,40.1,1
15,3.0,negative,Backpack,It broke after the first day of use.,706.04,31.9,0
16,0.1,negative,LED TV,Poor quality and very disappointing experience.,244.25,45.1,1
17,4.0,neutral,Desk Lamp,"The product is okay, nothing special.",261.96,9.5,0
18,8.8,positive,Microwave Oven,"Very durable, I’m extremely satisfied with my purchase.",587.01,29.7,0
19,7.5,positive,Bluetooth Speaker,High performance and sleek design make it worth every penny.,217.69,31.0,1
20,2.7,negative,Smartwatch,Customer support was unhelpful and slow.,203.47,65.5,1
21,4.0,neutral,Coffee Maker,Delivery took longer than expected but item works fine.,444.87,41.0,1
22,6.6,neutral,Electric Toothbrush,"The product is okay, nothing special.",171.53,8.5,1
23,9.9,positive,Gaming Mouse,Super easy to use and looks amazing.,62.96,42.0,1
24,7.4,positive,Backpack,Super easy to use and looks amazing.,27.1,52.3,1
